心理諮商所,,,
機構名稱,地址,電話,通訊心理諮商
大隱心理諮商所,臺北市萬華區成都路139號7樓,0905-181-152,
國立臺灣師範大學社區諮商中心心田心理諮商所,臺北市大安區青田街5巷16號,(02)7749-5720,V
心晨心理諮商所,臺北市中正區金門街15號3樓,(02)2365-0521,V
綻芯心理諮商所,臺北市中山區復興北路280巷2號3樓,(02)2501-6199,V
擁抱心理諮商所,臺北市內湖區成功路四段32號4樓,(02)8792-0568,V
以賽亞心理諮商所,臺北市中山區吉林路231號3樓,0933-569-611,V
詠安心理諮商所,臺北市內湖區港華街57號,(02)2627-6655,V
愛心理諮商所,臺北市大安區和平東路二段66號6樓之1,(02)2922-4977,V
好窩心理諮商所,臺北市中正區和平西路一段17號3樓,(02)2356-8846,V
思塾心理諮商所,臺北市士林區德行西路87號2F,0958-156-381,V
小隱心理諮商所,臺北市中正區忠孝西路一段50號18F之14,0953-162-980,
璞願心理諮商所,臺北市中正區忠孝西路一段41號10樓之17,(02)2389-7535,
蘇予昕心理諮商所,臺北市中山區敬業一路128巷39號4樓之2及3樓之1,(02)8502-5021,V
看見心理忠孝心理諮商所,臺北市大安區忠孝東路三段305號5樓,(02)2775-1051,V
點晴心理諮商所,臺北市中正區寧波西街87號7樓之2,0976-710-756,V
人生設計心理諮商所,臺北市大同區南京西路41號8樓之2,0983-580-856,V
國立臺北教育大學心理諮商暨健康促進研究中心芳蘭心理諮商所,臺北市大安區和平東路2段134之18號,(02)2732-1104 #86001,V
昕岸心理諮商所,臺北市大安區信義路2段208號8樓,0922-620-539,
微光心理諮商所,臺北市大安區忠孝東路4段341號10樓之3,0980-808-064,V
沐昂心理諮商所,臺北市中正區忠孝西路一段50號17樓之13,(02)2370-8442,
竹心理諮商所,臺北市大安區建國南路1段270巷29號1樓,0937-642-379,
擁抱心理博愛館心理諮商所,臺北市中正區博愛路76號10樓之2,(02)2371-5808, V
向日葵心理諮商所,臺北市中山區中山北路三段30號3樓之2,(02)2592-1411,
芳嚮心理諮商所,臺北市大安區敦化南路2段5號9樓之2,0973-859-823,
舒心心理諮商所,臺北市中山區民生東路1段42號11樓之2,(02)2511-3206,
心不懶心理諮商所,臺北市北投區西安街1段165巷9弄1號1樓,0905-201-034,V
心寓心理諮商所,臺北市大安區羅斯福路3段61號2樓,0910-080-536,V
潛意心理諮商所,臺北市士林區中正路213巷44號2樓,0932-592-212,
格桑美度心理諮商所,臺北市大安區東豐街7號14樓,(02)2709-5598,V
依懷心理諮商所,臺北市文山區羅斯福路6段297號6樓,0909-416-020,V
島語心理諮商所,臺北市文山區羅斯福路6段10號4樓之2,(02)2930-2022,
沐云心理諮商所,臺北市內湖區成功路四段214巷2弄3號2樓,0910-927-995,V
同伴心理諮商所,臺北市大安區信義路3段190號10樓,(02)2755-5429,
擁抱心藝心理諮商所,臺北市內湖區內湖路二段466號2樓,(02)8791-0019,
彩虹樹心理諮商所,臺北市中正區北平東路20號3樓,(02)2391-0586,
哈米思心理諮商所,臺北市萬華區柳州街6號4樓,(02)2382-0667,
2042心理諮商所,臺北市中山區復興北路204號2樓,0907-620-489,
歸心心理諮商所,臺北市大安區復興南路二段178號3樓,(02)2703-9156,
綻芯安和心理諮商所,臺北市大安區信義路四段187號7樓,(02)2701-0030,V
如初薩提爾心理諮商所,臺北市內湖區內湖路一段607號2樓,(02)7751-6076,
暖心泉恩心理諮商所,臺北市中正區南昌路2段192號8樓之2,(02)2365-1099,
蘊寬心理諮商所,臺北市中山區松江路206號9樓之1,0910-201-093,V
財團法人中華民國兒童福利聯盟基金會附設心理諮商所,臺北市內湖區瑞光路583巷21號7樓之4之5,(02)-2799-0333分機570,
共渡心理諮商所,臺北市信義區吳興街156巷33弄22號1樓,0976-070-618,
立翎心理諮商所,臺北市大安區忠孝東路4段183號3樓之6,0915-875-808,
愛牽手心理諮商所,臺北市松山區八德路4段666號6樓之1,(02)2768-1959,
天光心理諮商所,臺北市中山區天祥路22號2樓,(02)2511-7403,
劉玉文心理諮商所,臺北市松山區延吉街30巷7號3樓,0922-423-475,V
昕心理諮商所,臺北市中正區羅斯福路2段56號7樓,0905-866-222,
象家園心理諮商所,臺北市松山區民生東路5段69巷25號1樓,(02)2765-0285,V
我的心理諮商所,臺北市士林區中山北路7段141巷5號4樓,0970-608-189,V
螺旋梯心理諮商所,臺北市內湖區安康路261巷7號1樓,(02)2630-9650,
時醞心理諮商所,臺北市中正區信義路2度251號7樓之1,0980-941-931,
財團法人加惠文教基金會附設心理諮商所,臺北市松山區復興北路181號7樓之5,(02)2558-2771,V
療寓心理諮商所,臺北市大同區庫倫街37號3樓,0912-200-907,
荳點心理諮商所,臺北市信義區基隆路1段149號12樓之2,0965-711-589,
之間心理諮商所,臺北市松山區光復北路98號9樓之1,0917-697-357,
諦聽心理諮商所,臺北市中正區重慶南路1段121號7樓之6,0935-338-607,
沁芳心理治療所,臺北市中正區漢口街1段85號6樓之9,0952-990-985,
特殊情緒心理諮商所,臺北市大安區復興南路1段380號3樓,(02)2325-0206,V
清芷心理諮商所,臺北市信義區松山路518之1號1樓,0911-842-121,
沁心理諮商所,臺北市大安區和平東路3段1巷56號2樓,0911-793-931,
輕輕說心理諮商所,臺北市大安區信義路4段263號11樓之5,0917-658-638,
理馨西門舘心理諮商所,臺北市萬華區漢口街2段51號2樓,0968-989-195,
開心心理諮商所,臺北市中正區杭州南路1段131巷35-1號,0971-252-866,
華昕藝心心理諮商所,臺北市南港區研究院路1段99號2樓103室,(02)6605-7103,
張老師基金會台北心理諮商所,臺北市中山區大直街20巷16號,(02)2532-6180,
安然心理諮商所,臺北市中正區羅斯福路4段68號8樓之10,0917-002-762,
晴韻心理諮商所,臺北市大安區忠孝東路4段59號10樓之1,0919-010-865,
元思心理諮商所,臺北市中山區中山北路2段99號3樓之1,(02)2567-7795,
謐鏡心理諮商所,臺北市中山區民生東路2段83號3樓之47,0975-828-569,
蘅芯心理諮商所,臺北市中正區重慶南路1段99號11樓之6,0917-579-873,
